# Constructed from biom file
#OTU ID	UNKG.MB6	UNKG.MB4	RSG.MB7	LSG.MB16	UNKG.MB38	SZ.MB4	LSG.MB13	UNKG.MB36	LSG.MB17	UNKG.MB20	UNKG.MB24	UNKG.MB22	LSG.MB15	LSG.MB19	PZ.MB4	UNKG.MB27	RSG.MB3	UNKG.MB35	UNKG.MB30	LSG.MB20	UNKG.MB1	LSG.MB5	UNKG.MB5	UNKG.MB12	LSG.MB8	UNKG.MB8	UNKG.MB16	LSG.MB18	PZ.MB5	PZ.MB8	UNKG.MB19	LFG.MB1	RSG.MB6	EPRC.MB14	UNKG.MB3	RSG.MB1	EPRC.MB10	LSG.MB3	UNKG.MB11	EPRC.MB6	LSG.MB4	UNKG.MB2	SZ.MB15	PZ.MB6	UNKG.MB9	LSG.MB10	UNKG.MB10	RSG.MB4	UNKG.MB17	UNKG.MB15	LSG.MB14	LSG.MB2	EPRC.MB1	EPRC.MB11	UNKG.MB29	EPRC.MB5	UNKG.MB33	UNKG.MB34	UNKG.MB13	LSG.MB12	LSG.MB1	PZ.MB11	RSG.MB5	UNKG.MB14	UNKG.MB31	UNKG.MB26	UNKG.MB28	EPRC.MB9	UNKG.MB21	UNKG.MB7	UNKG.MB23	UNKG.MB37	EPRC.MB4	RSG.MB2	EPRC.MB12	LSG.MB7	EPRC.MB15	UNKG.MB32	EPRC.MB13	EPRC.MB8	UNKG.MB18	EPRC.MB18	EPRC.MB17	EPRC.MB2	LSG.MB11	UNKG.MB25	SZ.MB5	EPRC.MB16	SZ.MB14	LSG.MB9	SZ.MB12	PZ.MB7	EPRC.MB3	SZ.MB10	PZ.MB3	PZ.MB12	SZ.MB13	LSG.MB6	SZ.MB3	PZ.MB1	SZ.MB11	PZ.MB9	SZ.MB7	SZ.MB8	PZ.MB2	SZ.MB6	PZ.MB10	SZ.MB1	SZ.MB2	SZ.MB9	EPRC.MB7
99960	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
312967	146.5	108.0	188.0	54.5	140.5	0.0	80.25	30.0	66.5	30.0	4.75	110.25	51.5	192.25	0.0	61.0	17.75	29.75	23.25	104.0	212.25	109.5	35.25	160.5	21.0	143.25	435.5	113.5	0.0	0.25	72.0	44.0	111.25	9.25	129.75	246.25	53.0	108.5	58.5	162.25	160.25	73.75	0.0	0.25	28.0	57.75	25.25	55.25	31.0	81.0	43.75	39.75	58.5	7.0	23.75	3.5	20.0	54.5	107.75	0.5	57.5	0.0	49.5	102.25	39.5	18.5	5.0	0.0	23.25	53.75	24.25	33.5	50.75	39.75	9.5	52.25	1.75	11.25	22.5	12.25	24.75	8.5	15.25	3.5	2.25	0.5	0.25	3.75	0.5	0.75	0.25	0.25	0.5	0.0	0.0	0.0	0.0	0.25	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0
211750	3.4	8.6	7.4	5.8	8.0	0.0	6.2	6.4	11.0	4.8	2.0	7.2	4.8	17.4	0.0	12.4	5.2	4.4	6.4	9.0	13.4	7.0	5.6	9.2	7.2	17.8	7.2	14.2	0.0	0.0	8.4	18.8	3.4	2.4	6.0	10.6	0.0	9.0	5.8	0.0	5.2	15.2	0.0	0.0	8.4	4.8	5.2	5.4	7.0	9.0	3.6	8.0	0.6	0.0	6.0	0.0	2.2	5.0	10.2	0.0	9.0	0.2	6.8	10.6	5.6	6.6	2.4	0.2	4.0	12.2	3.8	3.8	0.2	4.2	2.0	8.4	0.0	6.2	3.6	0.2	3.6	0.0	0.0	0.0	1.4	1.8	0.0	0.6	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.4	0.2	0.6	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0
211066	0.75	0.0	0.0	1.0	0.0	0.25	0.25	0.0	0.0	1.0	0.0	0.5	0.5	0.5	0.0	0.75	0.25	1.0	0.25	0.5	0.5	1.0	0.25	0.75	0.75	0.0	0.75	1.5	0.0	0.25	0.0	0.5	0.25	0.0	0.75	0.25	0.0	0.0	0.75	0.0	0.25	1.5	0.0	0.0	0.25	0.25	0.25	1.0	0.0	0.25	0.25	0.25	0.25	0.25	0.75	0.0	0.0	0.25	0.75	0.25	0.5	0.0	0.25	0.0	0.25	0.5	1.5	0.0	0.75	0.0	0.0	1.75	0.5	0.5	0.0	0.0	0.0	1.25	0.25	0.0	0.75	0.75	0.25	0.0	1.0	0.0	0.5	0.0	0.0	0.5	0.25	0.0	0.5	0.0	0.0	0.0	0.0	0.25	0.5	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.25	0.0	0.25	0.25	0.0
1106101	0.0	0.0	0.333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.333333333333	0.333333333333	0.0	0.0	0.0	0.0	0.0	0.333333333333	0.0	0.0	0.0	0.0	0.0	3556.66666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.66666666667	0.0	2.33333333333	0.0	289.666666667	0.0	7.66666666667	120.333333333	0.0	0.0	228.0	0.0	2.0	0.0	47.3333333333	0.0	12.6666666667	250.0	0.0	12.3333333333	0.0	0.0	0.0	47.6666666667	0.0
104144	1.75	1.25	2.0	2.25	1.25	0.0	0.75	1.0	0.5	0.5	0.0	0.5	1.75	1.75	0.0	0.5	1.75	0.5	2.0	2.0	1.25	1.25	1.5	0.75	1.0	0.0	0.75	1.75	0.0	0.0	1.0	3.0	0.75	0.0	0.25	1.0	0.0	2.5	1.25	0.25	0.25	1.25	0.0	0.0	0.75	0.25	1.5	1.5	1.75	1.25	1.25	1.75	0.0	0.0	0.5	0.0	0.75	1.25	0.25	0.0	0.5	0.0	1.5	0.0	0.25	0.25	2.0	0.0	0.5	2.75	0.75	1.5	0.0	1.0	0.0	0.75	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.25	0.75	0.0	0.0	0.0	1.25	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
101542	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25
100567	2.0	1.0	1.0	1.0	0.0	80.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	4.0	242.0	0.0	4.0	2.0	1.0	3.0	0.0	3.0	1.0	4.0	4.0	3.0	3.0	2.0	82.0	2711.0	1.0	0.0	2.0	1.0	1.0	0.0	1.0	3.0	0.0	23.0	0.0	8.0	0.0	1071.0	1.0	1.0	2.0	4.0	6.0	3.0	1.0	2.0	3.0	0.0	2.0	0.0	2.0	4.0	4.0	1.0	0.0	111.0	0.0	1.0	4.0	0.0	2.0	1.0	0.0	1.0	1.0	7.0	6.0	5.0	0.0	0.0	0.0	2.0	2.0	0.0	3.0	0.0	0.0	0.0	3.0	2.0	991.0	0.0	882.0	1.0	548.0	682.0	301.0	1.0	5271.0	4010.0	132.0	7.0	59.0	3.0	99.0	297.0	175.0	961.0	23.0	472.0	1453.0	1203.0	1615.0	71.0	15.0
100198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	4.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0
