# Constructed from biom file
#OTU ID	RSG.MB4	UNKG.MB2	LSG.MB6	LSG.MB9	EPRC.MB16	UNKG.MB31	LSG.MB20	LSG.MB7	LSG.MB4	UNKG.MB21	LSG.MB14	UNKG.MB32	EPRC.MB13	RSG.MB2	UNKG.MB6	LSG.MB10	UNKG.MB8	UNKG.MB14	LSG.MB16	LSG.MB8	EPRC.MB9	RSG.MB1	LSG.MB12	LSG.MB15	UNKG.MB35	UNKG.MB17	LSG.MB2	RSG.MB6	PZ.MB7	UNKG.MB27	UNKG.MB4	RSG.MB3	LSG.MB1	UNKG.MB28	EPRC.MB2	SZ.MB8	SZ.MB7	EPRC.MB14	PZ.MB4	UNKG.MB38	SZ.MB11	PZ.MB1	UNKG.MB25	EPRC.MB15	SZ.MB6	EPRC.MB17	EPRC.MB18	EPRC.MB8	EPRC.MB12	EPRC.MB4	PZ.MB9	UNKG.MB11	SZ.MB3	PZ.MB10	PZ.MB2	UNKG.MB12	UNKG.MB5	PZ.MB3	PZ.MB12	UNKG.MB18	EPRC.MB11	SZ.MB5	EPRC.MB3	UNKG.MB36	UNKG.MB37	UNKG.MB33	UNKG.MB15	SZ.MB1	UNKG.MB26	EPRC.MB7	LSG.MB5	UNKG.MB23	UNKG.MB1	UNKG.MB16	UNKG.MB34	RSG.MB5	UNKG.MB20	UNKG.MB19	UNKG.MB10	UNKG.MB24	PZ.MB6	LFG.MB1	UNKG.MB13	EPRC.MB1	LSG.MB17	PZ.MB8	LSG.MB11	EPRC.MB10	UNKG.MB7	PZ.MB5	LSG.MB3	SZ.MB14	PZ.MB11	EPRC.MB5	SZ.MB13	UNKG.MB30	UNKG.MB3	RSG.MB7	LSG.MB19	SZ.MB2	LSG.MB18	UNKG.MB9	UNKG.MB22	LSG.MB13	UNKG.MB29	SZ.MB4	SZ.MB10	SZ.MB15	SZ.MB12	EPRC.MB6	SZ.MB9	KEGG_Pathways
1,1,1-Trichloro-2,2-bis(4-chlorophenyl)ethane (DDT) degradation	2.0	10.0	16.0	10.0	79.0	19.0	11.0	42.0	45.0	41.0	30.0	11.0	12.0	1.0	8.0	12.0	4.0	3.0	24.0	10.0	16.0	6.0	26.0	18.0	24.0	29.0	11.0	12.0	36.0	14.0	2.0	13.0	18.0	2.0	3.0	17.0	8.0	22.0	56.0	7.0	9.0	4.0	12.0	8.0	2.0	19.0	12.0	76.0	10.0	32.0	6.0	2.0	18.0	18.0	12.0	4.0	36.0	26.0	6.0	8.0	15.0	1.0	14.0	14.0	9.0	11.0	10.0	0.0	13.0	29.0	14.0	12.0	2.0	14.0	10.0	2.0	20.0	9.0	10.0	12.0	8.0	21.0	1.0	6.0	22.0	9.0	37.0	18.0	9.0	4.0	15.0	17.0	28.0	8.0	10.0	18.0	1.0	2.0	12.0	5.0	15.0	2.0	13.0	21.0	12.0	16.0	6.0	6.0	17.0	34.0	12.0	Metabolism; Xenobiotics Biodegradation and Metabolism; 1,1,1-Trichloro-2,2-bis(4-chlorophenyl)ethane (DDT) degradation
ABC transporters	1791364.0	2176312.0	2635262.0	2375327.0	1300910.0	1421369.0	1384000.0	1958573.0	1863857.0	1780326.0	1663972.0	2121561.0	1370847.0	2062293.0	2085141.0	1804867.0	2008169.0	1653350.0	1967706.0	2113594.0	1398258.0	1628605.0	2104827.0	1640225.0	1756809.0	2070132.0	2174776.0	1965833.0	1659560.0	1678016.0	1908086.0	2051129.0	1502423.0	1965056.0	1762320.0	1822005.0	1834180.0	1614483.0	1425923.0	1568175.0	1706108.0	2407282.0	2062521.0	1368719.0	1769443.0	1544973.0	1307291.0	1152961.0	1281153.0	2315025.0	1710570.0	1324880.0	1694133.0	1361417.0	1387755.0	2187476.0	2463038.0	1459970.0	1393833.0	1908153.0	1433289.0	1862148.0	1635903.0	1574307.0	2225653.0	1541939.0	1655399.0	1426478.0	1322048.0	1727683.0	1561192.0	1117953.0	1772990.0	2145824.0	1672470.0	1335521.0	1326900.0	1524762.0	1411791.0	1345225.0	1255887.0	1861994.0	1779297.0	1842971.0	1972706.0	1415452.0	2346976.0	1967391.0	1780951.0	1614980.0	1341206.0	1742818.0	1457060.0	1804813.0	2243659.0	1794404.0	2318521.0	1728023.0	1774154.0	1674620.0	1671660.0	1605047.0	1648640.0	1843612.0	1599704.0	1931485.0	1631673.0	929389.0	1219928.0	1473085.0	1439656.0	Environmental Information Processing; Membrane Transport; ABC transporters
Adherens junction	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Cellular Processes; Cell Communication; Adherens junction
Adipocytokine signaling pathway	29276.0	36430.0	44152.0	35009.0	16561.0	23833.0	25671.0	27855.0	32090.0	29681.0	26365.0	35382.0	20100.0	33553.0	32377.0	26233.0	35768.0	24392.0	33981.0	29694.0	9839.0	31476.0	15482.0	28854.0	30317.0	33042.0	34542.0	38715.0	36733.0	31066.0	33428.0	31817.0	27054.0	34828.0	19342.0	41743.0	22508.0	14302.0	31367.0	26083.0	20349.0	38964.0	30834.0	12819.0	35037.0	18120.0	16039.0	24863.0	18008.0	29524.0	37263.0	22784.0	35195.0	33556.0	37693.0	38520.0	30270.0	42438.0	37200.0	26918.0	20688.0	39239.0	33171.0	25062.0	38053.0	24829.0	28371.0	34233.0	23688.0	21092.0	31443.0	19325.0	29423.0	34037.0	30707.0	19963.0	21844.0	28032.0	20530.0	24605.0	38319.0	38373.0	30740.0	21595.0	33691.0	40823.0	36906.0	27546.0	31231.0	35016.0	27609.0	31216.0	28406.0	23522.0	36927.0	29317.0	31704.0	37360.0	34666.0	30708.0	30142.0	28745.0	25963.0	27120.0	27312.0	25632.0	34583.0	15923.0	33299.0	23771.0	28721.0	Organismal Systems; Endocrine System; Adipocytokine signaling pathway
African trypanosomiasis	1452.0	632.0	612.0	702.0	1299.0	474.0	836.0	760.0	849.0	617.0	639.0	1214.0	6757.0	788.0	1491.0	524.0	687.0	1249.0	711.0	606.0	340.0	2547.0	230.0	626.0	472.0	913.0	502.0	324.0	446.0	683.0	730.0	563.0	1093.0	456.0	3914.0	344.0	354.0	368.0	252.0	3548.0	395.0	77.0	484.0	2381.0	74.0	4262.0	3984.0	2698.0	6828.0	6930.0	105.0	944.0	131.0	188.0	162.0	1169.0	408.0	251.0	376.0	874.0	6632.0	81.0	316.0	602.0	913.0	652.0	1762.0	45.0	276.0	3780.0	738.0	401.0	1056.0	1543.0	612.0	1979.0	515.0	1571.0	611.0	248.0	191.0	1805.0	1139.0	4583.0	721.0	246.0	342.0	9075.0	1025.0	214.0	2012.0	392.0	114.0	11445.0	35.0	748.0	908.0	2060.0	2559.0	99.0	755.0	762.0	1034.0	1168.0	2980.0	109.0	369.0	271.0	209.0	2779.0	197.0	Human Diseases; Infectious Diseases; African trypanosomiasis
Alanine, aspartate and glutamate metabolism	478133.0	577333.0	764775.0	623387.0	375821.0	372015.0	371690.0	522351.0	498465.0	474147.0	437411.0	544186.0	382050.0	543866.0	550944.0	490035.0	547903.0	448520.0	514776.0	553299.0	412905.0	446853.0	568819.0	428370.0	463525.0	551409.0	607147.0	594952.0	476529.0	440862.0	526667.0	545260.0	407206.0	510148.0	536165.0	565547.0	498290.0	409489.0	391720.0	429566.0	482498.0	762552.0	548763.0	385004.0	489636.0	420863.0	372991.0	393750.0	361326.0	696527.0	464378.0	348663.0	535345.0	425830.0	465184.0	597958.0	641030.0	520391.0	461076.0	503282.0	383253.0	559999.0	471586.0	418180.0	587875.0	400309.0	437427.0	398963.0	343408.0	528296.0	418685.0	293086.0	474633.0	559097.0	436212.0	343038.0	348432.0	407774.0	377215.0	345297.0	432598.0	504481.0	481858.0	554330.0	521676.0	493233.0	591869.0	579253.0	488184.0	430000.0	362562.0	479905.0	411423.0	561652.0	593354.0	473798.0	622844.0	509070.0	492280.0	465989.0	437945.0	428615.0	436380.0	484332.0	427525.0	727635.0	505005.0	250669.0	409109.0	427965.0	374437.0	Metabolism; Amino Acid Metabolism; Alanine, aspartate and glutamate metabolism
Aldosterone-regulated sodium reabsorption	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Organismal Systems; Excretory System; Aldosterone-regulated sodium reabsorption
Alzheimer's disease	24679.0	27442.0	34974.0	29256.0	18973.0	18984.0	19333.0	24869.0	25149.0	23729.0	21134.0	26606.0	24813.0	26684.0	26761.0	24472.0	26339.0	23080.0	25003.0	26182.0	17727.0	24009.0	25589.0	20897.0	22816.0	27174.0	28771.0	29774.0	22552.0	22428.0	25499.0	26238.0	20602.0	24254.0	27768.0	26934.0	22413.0	22208.0	18905.0	23303.0	21307.0	36353.0	25993.0	19844.0	22578.0	31006.0	22565.0	21460.0	23799.0	38095.0	21889.0	17907.0	27523.0	19516.0	21782.0	29330.0	28959.0	23627.0	21021.0	24066.0	30110.0	25370.0	22518.0	20915.0	28471.0	20214.0	23061.0	18663.0	16970.0	27209.0	21106.0	15525.0	23023.0	27242.0	21377.0	20793.0	17701.0	21438.0	18691.0	17264.0	19800.0	26180.0	23663.0	30091.0	25306.0	22675.0	27766.0	35836.0	24390.0	20040.0	20125.0	23127.0	18342.0	35266.0	27073.0	23190.0	29397.0	26672.0	26704.0	21080.0	22174.0	21847.0	22122.0	23487.0	22992.0	37408.0	23508.0	12295.0	19687.0	24888.0	17789.0	Human Diseases; Neurodegenerative Diseases; Alzheimer's disease
Amino acid metabolism	84437.0	102602.0	121362.0	120616.0	50566.0	73215.0	60905.0	88397.0	94344.0	84300.0	83378.0	105034.0	89838.0	92315.0	94641.0	91408.0	96077.0	83366.0	96851.0	109191.0	42458.0	81036.0	95358.0	80549.0	87628.0	99283.0	106089.0	77567.0	79682.0	89182.0	87933.0	93137.0	71192.0	95118.0	100896.0	84929.0	90762.0	68539.0	74894.0	87584.0	88142.0	92500.0	95438.0	62934.0	81453.0	71774.0	74270.0	53684.0	86664.0	119105.0	79014.0	69793.0	74321.0	70350.0	74842.0	106333.0	116355.0	87777.0	77963.0	88243.0	85300.0	85942.0	75801.0	83019.0	106737.0	80198.0	89765.0	71091.0	69837.0	66411.0	78387.0	53747.0	79939.0	108855.0	82275.0	67531.0	67066.0	77299.0	70384.0	65869.0	75690.0	91733.0	88707.0	94091.0	94115.0	82302.0	112651.0	124280.0	86559.0	76902.0	66918.0	87780.0	68143.0	115028.0	99133.0	90339.0	98714.0	79667.0	87204.0	84146.0	78781.0	79337.0	79071.0	85502.0	92110.0	58579.0	79761.0	53628.0	54366.0	87089.0	74970.0	Unclassified; Metabolism; Amino acid metabolism
Amino acid related enzymes	733326.0	852934.0	1100139.0	927947.0	553952.0	573366.0	568014.0	782951.0	756051.0	724414.0	659020.0	822314.0	599700.0	813473.0	821334.0	742934.0	809910.0	674785.0	778616.0	826343.0	595561.0	676785.0	835508.0	649029.0	699143.0	833351.0	898043.0	888468.0	703929.0	679876.0	785498.0	821659.0	620228.0	766241.0	793341.0	811596.0	718399.0	658747.0	580023.0	645955.0	700632.0	1080916.0	819999.0	573881.0	701546.0	766944.0	592523.0	569903.0	564298.0	1022342.0	684078.0	538277.0	773900.0	610870.0	665003.0	893357.0	934642.0	731709.0	653594.0	748348.0	687866.0	798970.0	682012.0	638921.0	876879.0	619597.0	674914.0	580494.0	527679.0	767062.0	637918.0	462565.0	708244.0	837820.0	658430.0	563661.0	538463.0	620621.0	576294.0	533132.0	616000.0	769799.0	720565.0	828576.0	787672.0	696312.0	882144.0	878319.0	739664.0	636807.0	557346.0	706865.0	597909.0	847445.0	851903.0	715461.0	921905.0	759527.0	744586.0	669845.0	670326.0	662646.0	663199.0	727152.0	649741.0	1025859.0	719009.0	378903.0	582328.0	677801.0	553284.0	Metabolism; Amino Acid Metabolism; Amino acid related enzymes
